,latitude,longitude
Clarendon,18.010756,-77.281373
St. James,18.378355,-77.83908
Hanover,18.397577,-78.159057
Westmoreland,18.268395,-78.1782
Manchester,18.012609,-77.494988
St. Catherine South,17.892417,-77.000603
St. Catherine North,18.155556,-77.09948
St Andrew Central,18.053713,-76.792093
St Andrew North,18.076887,-76.807886
St Andrew South,17.988743,-76.779733
St. Ann,18.352043,-77.241634
Kingston Central,17.96876,-76.786535
Kingston Eastern,17.970246,-76.734957
Kingston Western,17.969518,-76.803584
St Elizabeth,18.009047,-77.744693
Trelawny,18.394617,-77.625271
St. Mary,18.248536,-76.8518
Portland,18.145139,-76.518519
St. Thomas,17.905667,-76.374631
